tweet_id,content,datetime,likes,shares,views,source,isBlue,followers,hashtags,location,user_mentions,media,username,url,comments,total_engagement,sentiment_score,sentiment_category,complaint_category
1871889326575136768,Yet again fucking driver accepted the booking and came and canceled the booking in front of me coz he didnt wanted to go..Such assholes are hires and we have to suffer,2024-12-25 12:02:48,0,0,23.0,TWITTER,False,93,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}]",['https://pbs.twimg.com/media/GfpJadUXkAAqoVS.jpg'],desire24_,https://x.com/desire24_/status/1871889326575136870,[],2,-0.7115,Negative,Driver Issue
1871827021585928704,"No one is constantly as motherfucking assholes as drivers..They confirm the booking,waste 20 minutes and when its near the location they cancel it..Such morons wasting time and energy of customers..Bloody shameless idiots",2024-12-25 07:55:13,0,0,15.0,TWITTER,False,93,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}]",['https://pbs.twimg.com/media/GfoQv5zXIAAcjA_.jpg'],desire24_,https://x.com/desire24_/status/1871827021585928588,[],2,-0.9442,Negative,Driver Issue
1863291107477721600,", Are you guys even concerned about what type of people you are hiring? I have booked an auto today and waited for the driver when I was about to type something I got a reply from the driver which is totally unexpected.",2024-01-12 18:36:32,0,0,32.0,TWITTER,False,47,,,"[{'name': 'Ola', 'screen_name': 'ola_zkzkvm'}, {'name': 'Ola Electric', 'screen_name': 'OlaElectric'}, {'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola Support', 'screen_name': 'ola_supports'}, {'name': 'Bhavish Aggarwal', 'screen_name': 'bhash'}]",['https://pbs.twimg.com/media/Gdu9YbvXkAApPHn.jpg'],DWasish,https://x.com/DWasish/status/1863291107477721485,"[{'content': 'This type of people going forward try to assault the pacengers, I want you to cancel his contact with ola and take strict action against this mannerless driver, this behaviour is totally not acceptable, I would like to file a complaint against you if you are not taking any action', 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 47}]",391,0.0,Neutral,Driver Issue
1860045970278613504,ola driver is rude and the way he was talking with customer is rubbish however he was telling me Ola Wale thodi naa itna paise dete hai ... Aap kaise payment kar rahe ho pehle batao tab jaounga your hiring process and people's grooming is bad,2024-11-22 19:41:31,0,0,4.0,TWITTER,False,15,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola Support', 'screen_name': 'ola_supports'}]",['https://pbs.twimg.com/media/GdA18i2agAILuYO.jpg'],nishantranjan54,https://x.com/nishantranjan54/status/1860045970278613429,"[{'content': 'Now he cancelled his trip himself', 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 15}]",144,-0.7579,Negative,Driver Issue
1710370803500679424,"Ola is hiring goons as drivers! Booked a cab from The Lodhi to Faridabad &amp; the cab fare was 621 Rs. On reaching Faridabad, the driver, Rajeev threatened me to pay 778 rs. Where is the safety with Ola? Ola has given no way to report such crimes!",2023-06-10 19:05:51,6,2,194.0,TWITTER,False,5,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola Support', 'screen_name': 'ola_supports'}, {'name': 'PMO India', 'screen_name': 'PMOIndia'}]","['https://pbs.twimg.com/media/F7x1LR0bUAAcCnI.jpg', 'https://pbs.twimg.com/media/F7x1JpGbAAAdrdq.jpg']",PancholiNi65782,https://x.com/PancholiNi65782/status/1710370803500679466,[],10,-0.3786,Negative,Driver Issue
1817485520416768256,What are your hiring standards? How is this driver even 4.6 rated? I was asked for the fare shown as soon as I get in the car and this is how the conversation went,2024-07-28 09:01:29,0,0,86.0,TWITTER,False,29,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola Support', 'screen_name': 'ola_supports'}]","['https://pbs.twimg.com/media/GTkBcrAXwAAj2iV.jpg', 'https://pbs.twimg.com/media/GTkBcrDWIAE62N-.jpg', 'https://pbs.twimg.com/media/GTkBcrHWkAATKjD.jpg']",MVNDRVX,https://x.com/MVNDRVX/status/1817485520416768180,"[{'content': 'Driver: How much is the fare shown in the app? Me: Rs. 125 Driver: Can you give me something extra? Me: We will see. The driver then starts the trip and rolls down the front windows since he wanted to save fuel by not turning on the AC.', 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 29}, {'content': ""There we go again. This time I've blocked him on Google pay. Hope he cannot retrieve my contact information and address from the app since assured me suspension of the driver. He still knows my address though. This is getting creepier"", 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 29}, {'content': 'Hi, we are dismayed with the experience you had and want to make sure this does not happen again. Thank you for sharing the details. Please allow us some time to look into the issue and get back to you with an update.', 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 119485}]",1024,0.0,Neutral,Driver Issue
1688976528925954048,"Had the misfortune of hiring an extremely rude driver (Mohammed Rizwan Dawood), driving Veh. No. TS 29 T0756, in Hyderabad, for a late night ride to SSR Grand from Lingampally.",2023-08-08 18:12:38,0,0,151.0,TWITTER,False,52,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}]",['https://pbs.twimg.com/media/F3ByR32aEAAhUEt.jpg'],Chat_Pune,https://x.com/Chat_Pune/status/1688976528925954048,"[{'content': 'Driver did not follow the route map, kept asking us for directions after taking some sort cuts and then started yelling at us. Finally dropped us off 9 min away from the destination in the middle of a busy highway.', 'likes': 0, 'shares': 0, 'views': None, 'media': None, 'is_blueTick': False, 'followers': 52}]",325,-0.0754,Negative,Driver Issue
1731929842675773696,why why such kinds of auto drivers are ur hiring not well the driver old age not good auto also very poor asking how much money u have paid for this ride why this query are need for him again asking my network is not working please pay cash Wow,2023-05-12 06:53:46,0,0,12.0,TWITTER,False,37,,,"[{'name': 'Ola Support', 'screen_name': 'ola_supports'}, {'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola', 'screen_name': 'Olacabs'}]",['https://pbs.twimg.com/media/GAkNA3PaIAAsvtZ.jpg'],NaveenK51541172,https://x.com/NaveenK51541172/status/1731929842675773756,[],2,-0.5391,Negative,Driver Issue
1837482429876969472,when will yall start hiring peeps after vetting them? Just had a cab booked for me a friend and the driver called and said he wont come over cuz distance is far. Upon asking him to cancel he used profanity and hung up on me after cancelling the ride.,2024-09-21 13:22:04,0,0,5.0,TWITTER,False,10,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}, {'name': 'Ola Support', 'screen_name': 'ola_supports'}]",['https://pbs.twimg.com/media/GYAMhGZWkAASdww.jpg'],Head21Metal,https://x.com/Head21Metal/status/1837482429876969507,[],2,0.1027,Positive,Driver Issue
1839837151812563456,"Don't u do minimum scrutiny bfr hiring drivers. Almost none accept ola money and some are not even accepting Gpay. Now when I get another driver not accepting Gpay and abusing horribly, is this the support that you give? You are not even certain that this will not repeat",2024-09-28 01:18:54,0,0,13.0,TWITTER,False,221,,,"[{'name': 'Ola', 'screen_name': 'Olacabs'}]",['https://pbs.twimg.com/media/GYhqIrHasAMGRdB.jpg'],kv_ravindra,https://x.com/kv_ravindra/status/1839837151812563406,[],2,-0.8686,Negative,Driver Issue
